03/04/2024 10:45:30.505 -08:00 INFO , server : local,  Word : cowman1 , input : postman
03/04/2024 10:46:00.515 -08:00 INFO , server : local,  Word : cowman2 , input : postman
03/04/2024 10:46:05.197 -08:00 INFO , server : local,  Word : cowman3 , input : postman
03/04/2024 14:36:16.916 -08:00 INFO , server : awsEC2,  Word : : UGVUHXSTKVAX, server : port-script-local
03/04/2024 14:36:21.900 -08:00 INFO , server : awsEC2,  Word : : LYARJDBITOTV, server : port-script-local
03/04/2024 14:36:26.901 -08:00 INFO , server : awsEC2,  Word : : UUPRBJOWNXYPV, server : port-script-local
03/04/2024 14:36:31.901 -08:00 INFO , server : awsEC2,  Word : : NBWSNPCWCERJGT, server : port-script-local
03/04/2024 14:36:36.902 -08:00 INFO , server : awsEC2,  Word : : WXHYSB, server : port-script-local
03/04/2024 14:36:41.903 -08:00 INFO , server : awsEC2,  Word : : OAYEUIPPYHL, server : port-script-local
03/04/2024 14:36:46.905 -08:00 INFO , server : awsEC2,  Word : : NQMLEHQ, server : port-script-local
03/04/2024 14:36:51.906 -08:00 INFO , server : awsEC2,  Word : : MNKOXW, server : port-script-local
03/04/2024 14:36:56.908 -08:00 INFO , server : awsEC2,  Word : : BGMB, server : port-script-local
03/04/2024 14:37:01.909 -08:00 INFO , server : awsEC2,  Word : : QRNRDNAS, server : port-script-local
03/04/2024 14:37:06.910 -08:00 INFO , server : awsEC2,  Word : : NOGLLAWGWRD, server : port-script-local
03/04/2024 14:37:11.911 -08:00 INFO , server : awsEC2,  Word : : NONPVKLYAV, server : port-script-local
03/04/2024 14:37:16.910 -08:00 INFO , server : awsEC2,  Word : : XDNXOBYOKUAN, server : port-script-local
03/04/2024 14:37:21.912 -08:00 INFO , server : awsEC2,  Word : : WBFPHB, server : port-script-local
03/04/2024 14:37:26.913 -08:00 INFO , server : awsEC2,  Word : : VNBJAGXCQAGKM, server : port-script-local
03/04/2024 14:37:31.912 -08:00 INFO , server : awsEC2,  Word : : HJONOHPXJVIUN, server : port-script-local
03/04/2024 14:37:36.914 -08:00 INFO , server : awsEC2,  Word : : TUQO, server : port-script-local
03/04/2024 14:37:41.914 -08:00 INFO , server : awsEC2,  Word : : URXCGTXBCKQ, server : port-script-local
03/04/2024 14:37:46.917 -08:00 INFO , server : awsEC2,  Word : : LMHHDXM, server : port-script-local
03/04/2024 14:37:51.921 -08:00 INFO , server : awsEC2,  Word : : TWOQTQEVHWKOE, server : port-script-local
03/04/2024 14:37:56.920 -08:00 INFO , server : awsEC2,  Word : : JYAMQ, server : port-script-local
03/04/2024 14:38:01.921 -08:00 INFO , server : awsEC2,  Word : : UCBGJNSDPINX, server : port-script-local
03/04/2024 14:38:06.921 -08:00 INFO , server : awsEC2,  Word : : XXQVHLFIRLJA, server : port-script-local
03/04/2024 14:38:11.923 -08:00 INFO , server : awsEC2,  Word : : THGSDSYTA, server : port-script-local
03/04/2024 14:38:16.925 -08:00 INFO , server : awsEC2,  Word : : LITNI, server : port-script-local
03/04/2024 14:38:21.927 -08:00 INFO , server : awsEC2,  Word : : EVJK, server : port-script-local
